Date,1 USD to INR conversion rate
13/05/2020,75.4204
12/05/2020,75.3341
11/05/2020,75.9437
10/05/2020,75.5335
09/05/2020,75.5039
08/05/2020,75.476
07/05/2020,75.7043
06/05/2020,76.2922
05/05/2020,75.9246
04/05/2020,75.6486
03/05/2020,75.5575
02/05/2020,75.831
01/05/2020,75.8591
30/04/2020,75.416
29/04/2020,75.29
28/04/2020,76.0641
27/04/2020,76.1629
26/04/2020,76.2865
25/04/2020,76.3021
24/04/2020,76.318
23/04/2020,76.0008
22/04/2020,76.4141
21/04/2020,76.97
20/04/2020,76.593
19/04/2020,76.5544
18/04/2020,76.498
17/04/2020,76.497
16/04/2020,76.8509
15/04/2020,76.4981
14/04/2020,75.9491
13/04/2020,76.243
12/04/2020,76.1628
11/04/2020,76.1765
10/04/2020,76.1766
09/04/2020,75.912
08/04/2020,75.9569
07/04/2020,75.6758
06/04/2020,76.0157
05/04/2020,76.4649
04/04/2020,76.42
03/04/2020,76.42
02/04/2020,76.1651
01/04/2020,76.5754
31/03/2020,75.3677
30/03/2020,75.4721
29/03/2020,75.3924
28/03/2020,74.876
27/03/2020,74.876
26/03/2020,74.6892
25/03/2020,75.7098
24/03/2020,75.9541
23/03/2020,76.5589
22/03/2020,75.6782
21/03/2020,75.6226
20/03/2020,75.72
19/03/2020,75.2028
18/03/2020,74.9378
17/03/2020,74.0053
16/03/2020,74.3278
15/03/2020,74.0161
14/03/2020,73.8867
13/03/2020,73.8863
12/03/2020,74.4382
11/03/2020,74.1809
10/03/2020,73.5691
09/03/2020,74.4734
08/03/2020,74.0032
07/03/2020,73.9997
06/03/2020,73.9942
05/03/2020,73.8626
04/03/2020,73.4874
03/03/2020,73.4512
02/03/2020,72.4188
01/03/2020,72.1723
29/02/2020,72.1722
28/02/2020,72.1719
27/02/2020,71.6959
26/02/2020,71.6713
25/02/2020,71.8803
24/02/2020,72.0493
23/02/2020,71.8852
22/02/2020,71.8874
21/02/2020,71.8874
20/02/2020,71.882
19/02/2020,71.6244
18/02/2020,71.5827
17/02/2020,71.359
16/02/2020,71.5252
15/02/2020,71.5274
14/02/2020,71.5274
13/02/2020,71.2761
12/02/2020,71.3032
11/02/2020,71.2854
10/02/2020,71.2988
09/02/2020,71.5136
08/02/2020,71.5159
07/02/2020,71.5159
06/02/2020,71.3007
05/02/2020,71.1891
04/02/2020,71.112
03/02/2020,71.3216
02/02/2020,71.4969
01/02/2020,71.4969
31/01/2020,71.4969
30/01/2020,71.5695
29/01/2020,71.31
28/01/2020,71.2402
27/01/2020,71.4513
26/01/2020,71.3288
25/01/2020,71.3263
24/01/2020,71.3263
23/01/2020,71.3311
22/01/2020,71.1104
21/01/2020,71.2426
20/01/2020,71.0383
19/01/2020,71.0508
18/01/2020,71.0409
17/01/2020,71.0409
16/01/2020,70.9539
15/01/2020,70.7246
14/01/2020,70.8542
13/01/2020,70.7271
12/01/2020,70.9614
11/01/2020,70.9577
10/01/2020,70.991
09/01/2020,71.1962
08/01/2020,71.444
07/01/2020,71.9664
06/01/2020,71.7966
05/01/2020,71.7612
04/01/2020,71.7583
03/01/2020,71.7583
02/01/2020,71.3517
01/01/2020,71.321
